book,coverage_unit,tokens,eligible_stream_positions,analyzed_total_arrivals,active_positions,active_rate,boundary_test_burst_ends,fixed_blocks_total,fixed_blocks_included,included_blocks_with_activity,canonical_verses_total,canonical_verses_with_analyzable_tokens,complete_represented_canonical_verses,complete_canonical_verses_with_activity,complete_canonical_verse_activity_coverage,complete_canonical_verses_with_burst_end,complete_canonical_verse_burst_end_coverage
genesis,canonical_chapter_verse,18128,18108,11379,7041,0.3888336646785951,4088,19,18,18,1533,1533,1530,1507,0.984967320261438,1490,0.9738562091503268
exodus,canonical_chapter_verse,14626,14606,10028,6007,0.4112693413665617,3338,15,15,15,1210,1210,1206,1185,0.9825870646766169,1172,0.9718076285240465
leviticus,canonical_chapter_verse,10336,10316,7321,4344,0.42109344707250873,2375,11,10,10,859,859,857,841,0.9813302217036173,837,0.9766627771295215
numbers,canonical_chapter_verse,14463,14443,10274,6184,0.4281658935124282,3361,15,14,14,1288,1288,1286,1267,0.9852255054432348,1252,0.973561430793157
deuteronomy,canonical_chapter_verse,12690,12670,9116,5197,0.4101815311760063,2875,13,13,13,956,956,955,938,0.9821989528795811,929,0.9727748691099476
