excluded_book,level,metric_role,observed_boundary_hits,observed_burst_ends,null,permutations,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
NONE,minor,robustness,5629,16037,run_preserving_circular_translation,500,0.3510008106254287,0.30797667892997443,0.04302413169545427,1.1396993169902867,0.0034723266805896926,12.390577170045429,0.001996007984031936,1.0,0.003992015968063872
NONE,major,robustness,2994,16037,run_preserving_circular_translation,500,0.18669327180894182,0.16104009478081935,0.025653177028122476,1.1592968326492683,0.002656717232434298,9.655968168135445,0.001996007984031936,1.0,0.003992015968063872
NONE,verse,exploratory,1567,16037,run_preserving_circular_translation,500,0.09771154205898859,0.08295404377377315,0.014757498285215442,1.1778996853421773,0.0019065692562400672,7.740342102399473,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,robustness,4156,11949,run_preserving_circular_translation,500,0.347811532345803,0.3047458364716713,0.04306569587413167,1.1413167653830605,0.004087412397926627,10.536175869109046,0.001996007984031936,1.0,0.003992015968063872
genesis,major,robustness,2237,11949,run_preserving_circular_translation,500,0.18721231902251234,0.15950908025776214,0.0277032387647502,1.1736781299220242,0.0031096896725714726,8.908682756707927,0.001996007984031936,1.0,0.003992015968063872
genesis,verse,exploratory,1172,11949,run_preserving_circular_translation,500,0.0980835216336095,0.08242078835048959,0.015662733283119915,1.1900337717775162,0.0021790444084756997,7.187890812228292,0.001996007984031936,1.0,0.003992015968063872
exodus,minor,robustness,4452,12699,run_preserving_circular_translation,500,0.3505787857311599,0.3079859831482794,0.04259280258288051,1.1382946137596601,0.003921452406856945,10.861486552381432,0.001996007984031936,1.0,0.003992015968063872
exodus,major,robustness,2374,12699,run_preserving_circular_translation,500,0.1869438538467596,0.1612276557209229,0.025716198125836698,1.1595024005704715,0.00301293599145362,8.535262016445849,0.001996007984031936,1.0,0.003992015968063872
exodus,verse,exploratory,1246,12699,run_preserving_circular_translation,500,0.09811796204425545,0.08318229781872588,0.014935664225529569,1.1795533979847246,0.0022228993265832574,6.719001642097156,0.001996007984031936,1.0,0.003992015968063872
leviticus,minor,robustness,4835,13662,run_preserving_circular_translation,500,0.3539013321622017,0.3098806909676475,0.04402064119455423,1.1420567414416607,0.003710616057560093,11.86343197778859,0.001996007984031936,1.0,0.003992015968063872
leviticus,major,robustness,2553,13662,run_preserving_circular_translation,500,0.18686868686868688,0.16093983311374616,0.025928853754940723,1.1611089887027235,0.0028984050688780124,8.945904088201832,0.001996007984031936,1.0,0.003992015968063872
leviticus,verse,exploratory,1349,13662,run_preserving_circular_translation,500,0.09874103352364222,0.08294598155467721,0.01579505196896501,1.1904257647316292,0.002101944627881015,7.5144947966056135,0.001996007984031936,1.0,0.003992015968063872
numbers,minor,robustness,4395,12676,run_preserving_circular_translation,500,0.34671820763647837,0.30718207636478384,0.03953613127169453,1.128705853347852,0.003982760114848818,9.926817114667044,0.001996007984031936,1.0,0.003992015968063872
numbers,major,robustness,2275,12676,run_preserving_circular_translation,500,0.17947301988008835,0.1591399495108867,0.02033307036920165,1.127768485736579,0.0029113736210381468,6.984012708733419,0.001996007984031936,1.0,0.003992015968063872
numbers,verse,exploratory,1181,12676,run_preserving_circular_translation,500,0.09316819185863048,0.08144509308930262,0.011723098769327867,1.1439386748133957,0.0020969460236318375,5.5905581913948685,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,minor,robustness,4678,13162,run_preserving_circular_translation,500,0.35541710986172315,0.3096897128096034,0.045727397052119756,1.1476555247420597,0.0037513810401953694,12.189483436142307,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,major,robustness,2537,13162,run_preserving_circular_translation,500,0.1927518614192372,0.16418310287190396,0.028568758547333234,1.1740054734476704,0.002961210120412584,9.647663416519988,0.001996007984031936,1.0,0.003992015968063872
deuteronomy,verse,exploratory,1320,13162,run_preserving_circular_translation,500,0.10028870992250417,0.08467953198602036,0.015609177936483809,1.1843323595489488,0.002161756319289791,7.220600119079075,0.001996007984031936,1.0,0.003992015968063872
