from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A3_C0,247,0.33975241,0.26685892,1.27315366,193.94,10.78140936,4.921434,0.00990099,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,46,0.05162738,0.0350488,1.47301425,30.58,4.87040122,3.166064,0.00990099,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A5_C0,30,0.12145749,0.07342502,1.65417029,18.38,4.37573659,2.655553,0.00990099,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,169,0.23246217,0.19764862,1.17613858,143.79,9.73517521,2.589578,0.01980198,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,83,0.32046332,0.26685892,1.20087169,68.97,5.85766355,2.395153,0.02970297,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,27,0.08181818,0.05434783,1.50545455,18.59,3.92632915,2.14195,0.04950495,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A4_C0,60,0.24489796,0.19764862,1.23905724,49.5,5.65417518,1.857035,0.04950495,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,60,0.06734007,0.05723159,1.17662412,49.82,6.15519818,1.653887,0.04950495,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,66,0.05486284,0.04591837,1.1947908,55.35,6.47820745,1.643973,0.06930693,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,57,0.06397306,0.05434783,1.17710438,48.29,5.89520435,1.477472,0.07920792,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A6-7_C0,24,0.07272727,0.05479148,1.32734634,17.87,4.16249488,1.472674,0.08910891,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,78,0.06483791,0.05723159,1.13290417,69.6,6.25227231,1.343512,0.08910891,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A2_C0,206,0.17123857,0.16126886,1.06182046,192.53,11.00730244,1.223733,0.12871287,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A2_C0,45,0.18367347,0.16126886,1.1389271,39.16,5.60793089,1.041382,0.18811881,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A3_C0,330,0.27431421,0.26685892,1.02793722,320.09,12.35182479,0.802311,0.22772277,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A5_C0,21,0.08571429,0.07342502,1.1673716,18.01,3.98607424,0.750111,0.25742574,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,152,0.17059484,0.16126886,1.05782878,145.32,10.15225506,0.657982,0.2970297,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,43,0.17408907,0.16126886,1.0794959,40.17,5.54331885,0.510524,0.27722772,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,32,0.20253165,0.19764862,1.02470556,30.71,4.63254844,0.278464,0.38613861,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,43,0.16602317,0.16126886,1.02948065,41.99,5.81793639,0.173601,0.4950495,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A3_C0,90,0.27272727,0.26685892,1.02199048,88.74,8.01717853,0.157163,0.45544554,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,54,0.16363636,0.16126886,1.01468051,53.16,6.27600851,0.133843,0.42574257,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C0,67,0.0556941,0.05479148,1.01647366,66.49,6.2498404,0.081602,0.52475248,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,66,0.07407407,0.07342502,1.00883966,65.69,6.91462365,0.044833,0.51485149,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A2_C0,33,0.15942029,0.16126886,0.98853737,33.22,5.30023823,-0.041508,0.54455446,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A6-7_C0,39,0.05364512,0.05479148,0.97907768,39.21,4.76157813,-0.044103,0.59405941,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,24,0.07272727,0.07342502,0.99049712,24.28,4.83271678,-0.057938,0.54455446,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,51,0.1969112,0.19764862,0.996269,51.69,6.57773256,-0.104899,0.56435644,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,33,0.04539202,0.04591837,0.98853737,33.55,4.66747828,-0.117837,0.58415842,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A4_C0,173,0.19416386,0.19764862,0.98236889,174.74,11.07423983,-0.157121,0.58415842,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,40,0.04489338,0.04591837,0.97767801,41.04,6.34197178,-0.163987,0.61386139,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,236,0.19617623,0.19764862,0.99255042,237.91,10.40502501,-0.183565,0.6039604,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C0,85,0.07065669,0.07342502,0.96229718,88.43,8.38258777,-0.409182,0.71287129,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A2_C0,23,0.14556962,0.16126886,0.90265179,25.51,4.11819074,-0.609491,0.77227723,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A3_C0,59,0.24081633,0.26685892,0.90241064,65.21,7.10710983,-0.873773,0.83168317,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A6-7_C0,22,0.03026135,0.0350488,0.86340606,26.17,4.56170932,-0.914131,0.89108911,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,36,0.17391304,0.19764862,0.87991021,41.16,5.62591407,-0.917184,0.85148515,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,36,0.2278481,0.26685892,0.85381483,42.41,5.10910259,-1.254623,0.94059406,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,58,0.23481781,0.26685892,0.87993242,65.61,6.04009332,-1.259914,0.9009901,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,47,0.22705314,0.26685892,0.85083587,54.73,5.91839283,-1.306098,0.92079208,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,41,0.04601571,0.05479148,0.83983333,48.51,5.65773806,-1.327386,0.94059406,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,45,0.06189821,0.07342502,0.8430125,53.95,6.19281924,-1.445222,0.94059406,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A4_C0,53,0.16060606,0.19764862,0.81258375,64.94,6.86790221,-1.738522,0.97029703,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,37,0.14979757,0.19764862,0.75789837,48.32,6.29233942,-1.799013,0.99009901,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A4_C0,51,0.04239401,0.05434783,0.78004988,66.05,7.34898468,-2.047902,0.97029703,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A0-1_C0,31,0.04264099,0.05723159,0.74506041,41.89,5.26258952,-2.069323,0.99009901,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,taam_events
