cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,explore_k3_7_edges20,full
atnah,2,munah,575,0.39222374,genesis,explore_k3_7_edges20,full
atnah,3,meteg,70,0.04774898,genesis,explore_k3_7_edges20,full
paseq,1,munah,72,0.7826087,genesis,explore_k3_7_edges20,full
revia,1,munah,307,0.50327869,genesis,explore_k3_7_edges20,full
revia,2,geresh,83,0.13606557,genesis,explore_k3_7_edges20,full
revia,3,sof_pasuq,76,0.12459016,genesis,explore_k3_7_edges20,full
revia,4,atnah,63,0.10327869,genesis,explore_k3_7_edges20,full
revia,5,meteg,43,0.0704918,genesis,explore_k3_7_edges20,full
sof_pasuq,1,meteg,1529,0.99934641,genesis,explore_k3_7_edges20,full
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,explore_k3_7_edges20,full
zaqef_gadol,2,atnah,55,0.3125,genesis,explore_k3_7_edges20,full
zaqef_gadol,3,sof_pasuq,50,0.28409091,genesis,explore_k3_7_edges20,full
zaqef_qatan,1,munah,1159,0.61846318,genesis,explore_k3_7_edges20,full
zaqef_qatan,2,pashta,551,0.29402348,genesis,explore_k3_7_edges20,full
zaqef_qatan,3,meteg,124,0.06616862,genesis,explore_k3_7_edges20,full
zaqef_qatan,4,qadma,28,0.0149413,genesis,explore_k3_7_edges20,full
