taam,rank,predecessor,count,prob,book,run_label,stream_type
pashta,3,meteg,191,0.11228689,genesis,explore_k3_7_edges20,core_projected
pashta,4,revia,187,0.10993533,genesis,explore_k3_7_edges20,core_projected
pashta,5,atnah,121,0.07113463,genesis,explore_k3_7_edges20,core_projected
pashta,6,sof_pasuq,99,0.05820106,genesis,explore_k3_7_edges20,core_projected
pashta,7,zaqef_qatan,65,0.03821282,genesis,explore_k3_7_edges20,core_projected
pashta,8,merkha,25,0.01469724,genesis,explore_k3_7_edges20,core_projected
pashta,9,paseq,5,0.00293945,genesis,explore_k3_7_edges20,core_projected
pashta,10,munah,5,0.00293945,genesis,explore_k3_7_edges20,core_projected
pashta,11,zaqef_gadol,3,0.00176367,genesis,explore_k3_7_edges20,core_projected
pashta,12,tipeha,1,0.00058789,genesis,explore_k3_7_edges20,core_projected
qadma,1,sof_pasuq,166,0.36323851,genesis,explore_k3_7_edges20,core_projected
qadma,2,telisha_qetana,92,0.20131291,genesis,explore_k3_7_edges20,core_projected
qadma,3,atnah,74,0.1619256,genesis,explore_k3_7_edges20,core_projected
qadma,4,revia,56,0.12253829,genesis,explore_k3_7_edges20,core_projected
qadma,5,zaqef_qatan,19,0.04157549,genesis,explore_k3_7_edges20,core_projected
qadma,6,meteg,18,0.03938731,genesis,explore_k3_7_edges20,core_projected
qadma,7,munah,15,0.03282276,genesis,explore_k3_7_edges20,core_projected
qadma,8,geresh,7,0.01531729,genesis,explore_k3_7_edges20,core_projected
qadma,9,pashta,5,0.01094092,genesis,explore_k3_7_edges20,core_projected
qadma,10,paseq,3,0.00656455,genesis,explore_k3_7_edges20,core_projected
qadma,11,zaqef_gadol,1,0.00218818,genesis,explore_k3_7_edges20,core_projected
qadma,12,tipeha,1,0.00218818,genesis,explore_k3_7_edges20,core_projected
revia,1,munah,319,0.52295082,genesis,explore_k3_7_edges20,core_projected
revia,2,geresh,83,0.13606557,genesis,explore_k3_7_edges20,core_projected
revia,3,sof_pasuq,76,0.12459016,genesis,explore_k3_7_edges20,core_projected
revia,4,atnah,63,0.10327869,genesis,explore_k3_7_edges20,core_projected
revia,5,meteg,47,0.07704918,genesis,explore_k3_7_edges20,core_projected
revia,6,zaqef_qatan,11,0.01803279,genesis,explore_k3_7_edges20,core_projected
revia,7,paseq,7,0.01147541,genesis,explore_k3_7_edges20,core_projected
revia,8,zaqef_gadol,2,0.00327869,genesis,explore_k3_7_edges20,core_projected
revia,9,pashta,2,0.00327869,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,1,meteg,1529,0.99934641,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,2,tipeha,1,0.00065359,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,1,sof_pasuq,39,0.41935484,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,2,atnah,17,0.1827957,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,3,munah,16,0.17204301,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,4,meteg,9,0.09677419,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,5,revia,7,0.07526882,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,6,zaqef_qatan,4,0.04301075,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,7,telisha_qetana,1,0.01075269,genesis,explore_k3_7_edges20,core_projected
tevir,1,darga,204,0.32744783,genesis,explore_k3_7_edges20,core_projected
tevir,2,merkha,160,0.25682183,genesis,explore_k3_7_edges20,core_projected
tevir,3,zaqef_qatan,82,0.13162119,genesis,explore_k3_7_edges20,core_projected
tevir,4,atnah,46,0.07383628,genesis,explore_k3_7_edges20,core_projected
tevir,5,meteg,41,0.06581059,genesis,explore_k3_7_edges20,core_projected
tevir,6,revia,39,0.06260032,genesis,explore_k3_7_edges20,core_projected
tevir,7,sof_pasuq,31,0.04975923,genesis,explore_k3_7_edges20,core_projected
tevir,8,zaqef_gadol,10,0.01605136,genesis,explore_k3_7_edges20,core_projected
tevir,9,paseq,8,0.01284109,genesis,explore_k3_7_edges20,core_projected
tevir,10,tevir,2,0.00321027,genesis,explore_k3_7_edges20,core_projected
tipeha,1,merkha,1472,0.49578983,genesis,explore_k3_7_edges20,core_projected
tipeha,2,zaqef_qatan,719,0.24216908,genesis,explore_k3_7_edges20,core_projected
tipeha,3,tevir,218,0.0734254,genesis,explore_k3_7_edges20,core_projected
