source,target,count,prob_given_source,target_predecessor_share,reverse_count,asymmetry_count,asymmetry_ratio,expected_independent,lift,book,run_label,stream_type
meteg,munah,116,0.04304267,0.04829309,123,-7,0.94308943,317.494237,0.365361,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,tipeha,100,0.06540222,0.03368137,1,99,100.0,222.649517,0.449136,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,pashta,99,0.0647482,0.05820106,0,99,inf,127.5604,0.776103,genesis,explore_k3_7_edges20,core_projected
pashta,meteg,93,0.05467372,0.03450835,191,-98,0.48691099,224.836677,0.413634,genesis,explore_k3_7_edges20,core_projected
telisha_qetana,qadma,92,0.98924731,0.20131291,0,92,inf,2.084506,44.13515,genesis,explore_k3_7_edges20,core_projected
meteg,meteg,87,0.032282,0.032282,87,0,1.0,356.222718,0.244229,genesis,explore_k3_7_edges20,core_projected
zaqef_gadol,merkha,87,0.49431818,0.03612957,0,87,inf,20.78611,4.185487,genesis,explore_k3_7_edges20,core_projected
mahapakh,meteg,87,0.10929648,0.032282,65,22,1.33846154,105.214576,0.826882,genesis,explore_k3_7_edges20,core_projected
geresh,revia,83,0.34016393,0.13606557,1,82,83.0,7.300015,11.36984,genesis,explore_k3_7_edges20,core_projected
zaqef_qatan,tevir,82,0.04375667,0.13162119,0,82,inf,57.261366,1.43203,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,darga,77,0.05035971,0.30434783,0,77,inf,18.972828,4.058435,genesis,explore_k3_7_edges20,core_projected
sof_pasuq,revia,76,0.04970569,0.12459016,0,76,inf,45.744764,1.661392,genesis,explore_k3_7_edges20,core_projected
atnah,qadma,74,0.05047749,0.1619256,0,74,inf,32.858993,2.252047,genesis,explore_k3_7_edges20,core_projected
munah,paseq,72,0.02997502,0.7826087,55,17,1.30909091,10.838393,6.643051,genesis,explore_k3_7_edges20,core_projected
meteg,atnah,70,0.02597403,0.04774898,156,-86,0.44871795,193.774584,0.361244,genesis,explore_k3_7_edges20,core_projected
