taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1151,0.06921643,1151,1151,18,4,3.53961769,0.84884445,1.19753371,0.59876685,merkha,0.16854909,tipeha,0.53953084,numbers,main,full
darga,237,0.01425221,237,237,5,12,0.88153221,0.37965526,3.04385242,0.84906116,tevir,0.83544304,atnah,0.24050633,numbers,main,full
geresh,223,0.01341031,223,223,10,7,2.48538104,0.74817424,0.87996028,0.31344818,munah,0.30941704,qadma,0.84753363,numbers,main,full
gershayim,114,0.00685549,114,114,7,8,2.51813354,0.89697726,2.40067151,0.80022384,mahapakh,0.28070175,sof_pasuq,0.39473684,numbers,main,full
mahapakh,567,0.03409706,567,567,3,12,0.52163319,0.3291139,3.11659429,0.86935199,pashta,0.88712522,revia,0.17989418,numbers,main,full
merkha,1854,0.11149197,1854,1854,6,14,1.41058819,0.54569,2.72874713,0.71670416,tipeha,0.57389428,tipeha,0.27454153,numbers,main,full
merkha_kefula,2,0.00012027,2,2,1,1,-0.0,0.0,-0.0,0.0,tipeha,1.0,darga,1.0,numbers,main,full
meteg,2148,0.12917193,2148,2148,23,25,2.40277545,0.5311689,2.81309437,0.6057669,sof_pasuq,0.59729981,tipeha,0.37616387,numbers,main,full
munah,1886,0.11341632,1886,1886,18,18,2.57048856,0.6164352,3.02639975,0.72576839,zaqef_qatan,0.40084836,pashta,0.2804878,numbers,main,full
paseq,80,0.00481087,80,80,11,5,2.15980461,0.62432354,0.85371249,0.36767396,munah,0.55,munah,0.85,numbers,main,full
pashta,1217,0.0731854,1217,1217,7,12,1.78409928,0.63550899,2.57891081,0.71936898,munah,0.43467543,mahapakh,0.41331142,numbers,main,full
pazer,36,0.00216489,36,36,5,7,1.80609861,0.77784433,2.24375642,0.79924216,telisha_qetana,0.5,munah,0.38888889,numbers,main,full
qadma,435,0.02615912,435,434,8,11,2.25811321,0.7527044,2.72176787,0.78676736,geresh,0.43448276,sof_pasuq,0.34101382,numbers,main,full
qarney_para,1,6.014e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,telisha_qetana,1.0,meteg,1.0,numbers,main,full
revia,497,0.02988755,497,497,13,9,3.15489936,0.85257418,2.42638755,0.76544005,pashta,0.23943662,munah,0.47686117,numbers,main,full
segol,96,0.00577305,96,96,13,3,2.73575288,0.73930481,1.20298186,0.75899705,mahapakh,0.38541667,munah,0.52083333,numbers,main,full
sof_pasuq,1284,0.0772145,1283,1284,19,2,3.56699866,0.83970328,0.00916555,0.00916555,munah,0.20966485,meteg,0.99922118,numbers,main,full
telisha_gedola,50,0.0030068,50,50,7,9,1.94590696,0.69314605,2.75262919,0.86835783,qadma,0.58,atnah,0.28,numbers,main,full
telisha_qetana,88,0.00529196,88,88,2,10,0.26676499,0.26676499,2.60763134,0.78497525,qadma,0.95454545,sof_pasuq,0.32954545,numbers,main,full
tevir,576,0.03463828,576,576,4,11,1.19320401,0.59660201,2.59568772,0.75032202,merkha,0.58854167,darga,0.34375,numbers,main,full
tipeha,2435,0.14643093,2435,2435,5,10,1.97507855,0.85062003,2.27251324,0.68409465,meteg,0.33182752,merkha,0.43696099,numbers,main,full
yerah_ben_yomo,1,6.014e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,meteg,1.0,munah,1.0,numbers,main,full
yetiv,72,0.00432979,72,72,3,6,0.9051213,0.57106796,2.13208547,0.82480325,munah,0.80555556,revia,0.30555556,numbers,main,full
zaqef_gadol,126,0.00757712,126,126,8,5,1.35226673,0.45075558,1.75952984,0.75778826,tipeha,0.69047619,zaqef_qatan,0.35714286,numbers,main,full
zaqef_qatan,1357,0.08160443,1357,1357,16,8,2.34886064,0.58721516,1.57325518,0.52441839,tipeha,0.44436256,munah,0.55711127,numbers,main,full
zarqa,1,6.014e-05,1,1,1,1,-0.0,0.0,-0.0,0.0,meteg,1.0,meteg,1.0,numbers,main,full
zinor,95,0.00571291,95,95,3,6,1.16538162,0.73527394,1.4876607,0.57550572,munah,0.52631579,munah,0.70526316,numbers,main,full
