interval,count,share,cum_share,book,model,relation
1,1640,0.12921525,0.12921525,deuteronomy,continuous,continuous
2,4808,0.3788213,0.50803656,deuteronomy,continuous,continuous
3,4082,0.32161992,0.82965648,deuteronomy,continuous,continuous
4,1536,0.12102112,0.95067759,deuteronomy,continuous,continuous
5,462,0.03640088,0.98707847,deuteronomy,continuous,continuous
6,125,0.00984872,0.9969272,deuteronomy,continuous,continuous
7,30,0.00236369,0.99929089,deuteronomy,continuous,continuous
8,9,0.00070911,1.0,deuteronomy,continuous,continuous
1,1460,0.12437175,0.12437175,deuteronomy,sof_only,within
2,4489,0.38240055,0.5067723,deuteronomy,sof_only,within
3,3813,0.32481472,0.83158702,deuteronomy,sof_only,within
4,1395,0.11883465,0.95042167,deuteronomy,sof_only,within
5,427,0.03637448,0.98679615,deuteronomy,sof_only,within
6,117,0.00996678,0.99676293,deuteronomy,sof_only,within
7,29,0.0024704,0.99923332,deuteronomy,sof_only,within
8,9,0.00076668,1.0,deuteronomy,sof_only,within
1,180,0.18887723,0.18887723,deuteronomy,sof_only,cross_reset
2,319,0.33473242,0.52360965,deuteronomy,sof_only,cross_reset
3,269,0.28226653,0.80587618,deuteronomy,sof_only,cross_reset
4,141,0.14795383,0.95383001,deuteronomy,sof_only,cross_reset
5,35,0.03672613,0.99055614,deuteronomy,sof_only,cross_reset
6,8,0.00839454,0.99895068,deuteronomy,sof_only,cross_reset
7,1,0.00104932,1.0,deuteronomy,sof_only,cross_reset
1,1640,0.12921525,0.12921525,deuteronomy,sof_only,all
2,4808,0.3788213,0.50803656,deuteronomy,sof_only,all
3,4082,0.32161992,0.82965648,deuteronomy,sof_only,all
4,1536,0.12102112,0.95067759,deuteronomy,sof_only,all
5,462,0.03640088,0.98707847,deuteronomy,sof_only,all
6,125,0.00984872,0.9969272,deuteronomy,sof_only,all
7,30,0.00236369,0.99929089,deuteronomy,sof_only,all
8,9,0.00070911,1.0,deuteronomy,sof_only,all
1,1308,0.12076447,0.12076447,deuteronomy,major,within
2,4187,0.38657557,0.50734004,deuteronomy,major,within
3,3539,0.3267473,0.83408734,deuteronomy,major,within
4,1265,0.11679439,0.95088173,deuteronomy,major,within
5,387,0.03573077,0.9866125,deuteronomy,major,within
6,109,0.01006371,0.99667621,deuteronomy,major,within
7,27,0.00249284,0.99916905,deuteronomy,major,within
8,9,0.00083095,1.0,deuteronomy,major,within
1,332,0.17839871,0.17839871,deuteronomy,major,cross_reset
2,621,0.33369156,0.51209027,deuteronomy,major,cross_reset
3,543,0.29177861,0.80386889,deuteronomy,major,cross_reset
4,271,0.14562063,0.94948952,deuteronomy,major,cross_reset
5,75,0.04030091,0.98979044,deuteronomy,major,cross_reset
6,16,0.00859753,0.99838796,deuteronomy,major,cross_reset
7,3,0.00161204,1.0,deuteronomy,major,cross_reset
1,1640,0.12921525,0.12921525,deuteronomy,major,all
2,4808,0.3788213,0.50803656,deuteronomy,major,all
3,4082,0.32161992,0.82965648,deuteronomy,major,all
4,1536,0.12102112,0.95067759,deuteronomy,major,all
5,462,0.03640088,0.98707847,deuteronomy,major,all
6,125,0.00984872,0.9969272,deuteronomy,major,all
7,30,0.00236369,0.99929089,deuteronomy,major,all
8,9,0.00070911,1.0,deuteronomy,major,all
1,1029,0.11586533,0.11586533,deuteronomy,major_minor,within
2,3485,0.39241076,0.5082761,deuteronomy,major_minor,within
3,3009,0.3388132,0.84708929,deuteronomy,major_minor,within
4,987,0.11113613,0.95822543,deuteronomy,major_minor,within
5,280,0.03152798,0.98975341,deuteronomy,major_minor,within
6,63,0.0070938,0.9968472,deuteronomy,major_minor,within
7,20,0.002252,0.9990992,deuteronomy,major_minor,within
8,8,0.0009008,1.0,deuteronomy,major_minor,within
1,611,0.16032537,0.16032537,deuteronomy,major_minor,cross_reset
2,1323,0.34715298,0.50747835,deuteronomy,major_minor,cross_reset
3,1073,0.2815534,0.78903175,deuteronomy,major_minor,cross_reset
4,549,0.14405668,0.93308843,deuteronomy,major_minor,cross_reset
5,182,0.04775649,0.98084492,deuteronomy,major_minor,cross_reset
6,62,0.0162687,0.99711362,deuteronomy,major_minor,cross_reset
7,10,0.00262398,0.9997376,deuteronomy,major_minor,cross_reset
8,1,0.0002624,1.0,deuteronomy,major_minor,cross_reset
1,1640,0.12921525,0.12921525,deuteronomy,major_minor,all
2,4808,0.3788213,0.50803656,deuteronomy,major_minor,all
3,4082,0.32161992,0.82965648,deuteronomy,major_minor,all
4,1536,0.12102112,0.95067759,deuteronomy,major_minor,all
5,462,0.03640088,0.98707847,deuteronomy,major_minor,all
6,125,0.00984872,0.9969272,deuteronomy,major_minor,all
7,30,0.00236369,0.99929089,deuteronomy,major_minor,all
8,9,0.00070911,1.0,deuteronomy,major_minor,all
