from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A5_C0,P<=4_A0-1_C0,25,0.11574074,0.05930202,1.95171665,12.97,3.33168141,3.610789,0.00990099,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,155,0.25876461,0.20939386,1.23577935,126.57,8.49748032,3.345698,0.00990099,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,26,0.11504425,0.061926,1.85776961,14.28,3.57624034,3.277185,0.00990099,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,64,0.0802005,0.05930202,1.35240757,47.15,5.32835942,3.162324,0.00990099,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,225,0.24064171,0.20939386,1.14923003,194.83,10.43987596,2.889881,0.01980198,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,25,0.11061947,0.06743637,1.64035329,15.25,3.59397644,2.712873,0.01980198,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,38,0.04761905,0.03306219,1.44028723,25.86,4.72478956,2.569427,0.01980198,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,24,0.09338521,0.05667804,1.64764375,14.76,3.94947893,2.339549,0.00990099,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A3_C0,252,0.26951872,0.24560483,1.09736734,229.48,11.00916056,2.045569,0.03960396,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,64,0.0802005,0.06743637,1.18927669,53.48,6.05443322,1.73757,0.05940594,upper,screening_selected_transition,deuteronomy,minor,transition_bucket_shape,taam_events
