book,model,within_n,cross_n,within_top3_share,cross_top3_share,delta_top3_within_minus_cross,delta_top3_null_mean,delta_top3_null_sd,delta_top3_z,delta_top3_empirical_p,delta_top3_empirical_p_tail,within_entropy,cross_entropy,delta_entropy_within_minus_cross,delta_entropy_null_mean,delta_entropy_null_sd,delta_entropy_z,delta_entropy_empirical_p,delta_entropy_empirical_p_tail,null_model
genesis,sof_only,16599,1529,0.85270197,0.85938522,-0.00668325,8.95e-06,0.00967617,-0.691616,0.76247505,upper,0.66612726,0.71248788,-0.04636062,-0.03781372,0.02841738,-0.300763,0.36726547,lower,global_interval_shuffle
genesis,major,15133,2995,0.85515099,0.83105175,0.02409924,0.00017332,0.00735797,3.251703,0.00199601,upper,0.6627226,0.73133542,-0.06861282,-0.02339331,0.02342615,-1.9303,0.00798403,lower,global_interval_shuffle
genesis,major_minor,12382,5746,0.86310774,0.82213714,0.0409706,3.754e-05,0.0061063,6.703416,0.00199601,upper,0.64983719,0.74757779,-0.0977406,-0.00919467,0.01969384,-4.496122,0.00199601,lower,global_interval_shuffle
exodus,sof_only,13421,1204,0.84188958,0.85714286,-0.01525328,-0.00529797,0.00898843,-1.107569,0.88023952,upper,0.67035686,0.79690567,-0.12654881,-0.05166496,0.0330132,-2.2683,0.00199601,lower,global_interval_shuffle
exodus,major,12276,2349,0.84693711,0.83226905,0.01466806,-0.00318253,0.00649749,2.747307,0.00598802,upper,0.66572589,0.74939553,-0.08366964,-0.03450344,0.02687318,-1.829564,0.04790419,lower,global_interval_shuffle
exodus,major_minor,10117,4508,0.85736879,0.79813665,0.05923214,-0.00161008,0.00501058,12.142743,0.00199601,upper,0.64824912,0.76712755,-0.11887843,-0.01869028,0.02979489,-3.362595,0.00199601,lower,global_interval_shuffle
leviticus,sof_only,9480,856,0.85116034,0.75233645,0.09882389,-0.0006903,0.01203732,8.267138,0.00199601,upper,0.71892451,0.80974424,-0.09081973,-0.01535381,0.02705577,-2.789273,0.00199601,lower,global_interval_shuffle
leviticus,major,8667,1669,0.85819776,0.7669263,0.09127146,-0.00058133,0.00906607,10.131486,0.00199601,upper,0.7119886,0.79567843,-0.08368983,-0.00381174,0.01788602,-4.465952,0.00199601,lower,global_interval_shuffle
leviticus,major_minor,7259,3077,0.86885246,0.78030549,0.08854697,-8.113e-05,0.00770272,11.506072,0.00199601,upper,0.6948047,0.79107464,-0.09626994,-0.00011816,0.00934817,-10.28563,0.00199601,lower,global_interval_shuffle
numbers,sof_only,13180,1283,0.83778452,0.81917381,0.01861071,0.00033321,0.01002427,1.823326,0.03393214,upper,0.68348769,0.74087607,-0.05738838,-0.03854882,0.02576731,-0.731142,0.15768463,lower,global_interval_shuffle
numbers,major,12029,2434,0.83947128,0.8147083,0.02476298,0.00018357,0.0078881,3.116012,0.00199601,upper,0.68049553,0.75028251,-0.06978698,-0.024099,0.02449853,-1.864927,0.00798403,lower,global_interval_shuffle
numbers,major_minor,9969,4494,0.84441769,0.81508678,0.02933091,-0.00015885,0.0066529,4.432616,0.00199601,upper,0.6706682,0.71248687,-0.04181867,-0.01041367,0.02133763,-1.471813,0.16966068,lower,global_interval_shuffle
deuteronomy,sof_only,11739,953,0.83158702,0.80587618,0.02571084,-0.00214624,0.01115762,2.496688,0.00399202,upper,0.68865844,0.76548722,-0.07682878,-0.02940989,0.03009915,-1.575423,0.06187625,lower,global_interval_shuffle
deuteronomy,major,10831,1861,0.83408734,0.80386889,0.03021845,-0.00099265,0.00849265,3.675072,0.00199601,upper,0.6853513,0.76797312,-0.08262182,-0.01156909,0.02188789,-3.246212,0.00798403,lower,global_interval_shuffle
deuteronomy,major_minor,8881,3811,0.84708929,0.78903175,0.05805754,-0.00024713,0.00732084,7.964202,0.00199601,upper,0.66931887,0.7342134,-0.06489453,-0.00149121,0.01103195,-5.747248,0.00199601,lower,global_interval_shuffle
