book,level,response,metric_role,metric,null,permutations,aggregation,value_mode,equivalence_profile,observed,null_mean,difference,fold,null_sd,z,p_enrich,p_deplete,p_two_sided
genesis,minor,mean_count,primary,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.07205128205128208,-0.00036474358974358925,0.07241602564102567,-197.53954305799684,0.016563328732762263,4.372069576677952,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.08346111205867303,-0.0009179586673489109,0.08437907072602194,-90.92033773123026,0.02175871572315318,3.8779435238558317,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.005407978408396352,-0.0006512459412900311,-0.004756732467106321,8.304049308443858,0.01418644941817311,-0.33530112622915054,0.6227544910179641,0.37924151696606784,0.7584830339321357
genesis,minor,mean_count,descriptive,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.013735692262622883,0.00147570788833132,0.012259984374291563,9.3078666660478,0.0011060641309459962,11.084334109818592,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.11414911188249116,0.035015794833056786,0.07913331704943438,3.259932051427497,0.013632795150221668,5.804628924402762,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,primary,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.07205128205128208,0.001053888888888889,0.0709973931623932,68.36705729694663,0.016776064020426817,4.232064987111731,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,secondary,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.08346111205867303,0.0018559953190440996,0.08160511673962893,44.968384996605664,0.02067240076841998,3.9475394103374923,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.005407978408396352,0.0031036206346796488,-0.008511599043076001,-1.7424740472363034,0.01369483752955056,-0.6215188040537007,0.7325349301397206,0.2694610778443114,0.5389221556886228
genesis,minor,mean_count,descriptive,profile_energy,within_segment_value_permutation,500,segment,raw,STRICT,0.013735692262622883,0.001404973970604064,0.012330718292018818,9.776474546868128,0.0010555962124520017,11.6812831900716,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,mean_count,descriptive,profile_amplitude,within_segment_value_permutation,500,segment,raw,STRICT,0.11414911188249116,0.03313658109327312,0.08101253078921805,3.4448065586845944,0.01310369799332682,6.182417423728358,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,run_preserving_circular_translation,500,segment,raw,STRICT,0.027692307692307683,1.363247863247824e-05,0.027678675213675206,2031.347962382503,0.009119771739193212,3.035018419893459,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,run_preserving_circular_translation,500,segment,raw,STRICT,0.03397464324293592,0.0002526383914188792,0.033722004851517044,134.47933646238795,0.011374748563026258,2.964637386458878,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,run_preserving_circular_translation,500,segment,raw,STRICT,-0.010447304806829844,-0.00023765397560555614,-0.010209650831224288,43.960151645725695,0.0076784854709618985,-1.3296438301322078,0.9121756487025948,0.08982035928143713,0.17964071856287425
genesis,minor,active_rate,robustness,profile_energy,run_preserving_circular_translation,500,segment,raw,STRICT,0.00895705242694111,0.001006525063740987,0.007950527363200122,8.89898597621615,0.0007378877401593906,10.774711288037844,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,profile_amplitude,run_preserving_circular_translation,500,segment,raw,STRICT,0.0628688712825812,0.01861845366965012,0.04425041761293108,3.376696711664274,0.007337127739456793,6.031027288098868,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,terminal_contrast,within_segment_value_permutation,500,segment,raw,STRICT,0.027692307692307683,0.0005715811965811953,0.02712072649572649,48.44859813084122,0.009468417371658494,2.864335762902265,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,linear_slope,within_segment_value_permutation,500,segment,raw,STRICT,0.03397464324293592,0.0006635065476528883,0.03331113669528303,51.20468420864727,0.01149928118147527,2.8968016495627134,0.001996007984031936,1.0,0.003992015968063872
genesis,minor,active_rate,robustness,cadence_peak,within_segment_value_permutation,500,segment,raw,STRICT,-0.010447304806829844,0.002947289804652815,-0.013394594611482659,-3.5447158234446223,0.007549357301708778,-1.7742695273478215,0.9600798403193613,0.041916167664670656,0.08383233532934131
