k,observed_entropy,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,book,run_label,stream_type
2,5.82273576,7.11018434,0.00103478,200,-1244.178237,True,0.00497512,0,200,genesis,control_exclude_external,full
3,7.67133538,10.47260035,0.00381883,200,-733.540638,True,0.00497512,0,200,genesis,control_exclude_external,full
4,9.371522,12.9952878,0.00714011,200,-507.52222,True,0.00497512,0,200,genesis,control_exclude_external,full
5,10.8892445,14.0247718,0.00523491,200,-598.964862,True,0.00497512,0,200,genesis,control_exclude_external,full
6,12.1359122,14.2048556,0.00190999,158,-1083.222256,True,0.00497512,0,200,genesis,control_exclude_external,full
2,5.91945964,7.20046132,0.00129277,200,-990.893614,True,0.00497512,0,200,exodus,control_exclude_external,full
3,7.77562872,10.56167376,0.0045555,200,-611.578839,True,0.00497512,0,200,exodus,control_exclude_external,full
4,9.4525905,12.93706006,0.00754273,200,-461.964228,True,0.00497512,0,200,exodus,control_exclude_external,full
5,10.91838329,13.7761794,0.00469741,198,-608.376451,True,0.00497512,0,200,exodus,control_exclude_external,full
6,12.08931305,13.90415623,0.0016012,125,-1133.429664,True,0.00497512,0,200,exodus,control_exclude_external,full
2,5.90287779,7.22285096,0.00186559,200,-707.538474,True,0.00497512,0,200,leviticus,control_exclude_external,full
3,7.71409817,10.51616904,0.00598978,200,-467.808465,True,0.00497512,0,200,leviticus,control_exclude_external,full
4,9.34183183,12.65706801,0.00885722,200,-374.297609,True,0.00497512,0,200,leviticus,control_exclude_external,full
5,10.73251872,13.30557292,0.00473848,194,-543.012781,True,0.00497512,0,200,leviticus,control_exclude_external,full
6,11.80407297,13.39491484,0.00158763,83,-1002.020515,True,0.00497512,0,200,leviticus,control_exclude_external,full
2,5.91641897,7.2232761,0.0013539,200,-965.252127,True,0.00497512,0,200,numbers,control_exclude_external,full
3,7.75518817,10.5844653,0.00470328,200,-601.554437,True,0.00497512,0,200,numbers,control_exclude_external,full
4,9.41630876,12.92825683,0.00748334,200,-469.302242,True,0.00497512,0,200,numbers,control_exclude_external,full
5,10.85863747,13.75295217,0.00448294,198,-645.62829,True,0.00497512,0,200,numbers,control_exclude_external,full
6,11.97806467,13.88184814,0.00152634,121,-1247.284926,True,0.00497512,0,200,numbers,control_exclude_external,full
2,6.01449928,7.29696889,0.00129983,200,-986.640577,True,0.00497512,0,200,deuteronomy,control_exclude_external,full
3,7.88918977,10.66726127,0.00523101,200,-531.077231,True,0.00497512,0,200,deuteronomy,control_exclude_external,full
4,9.56728616,12.92013397,0.00932018,200,-359.740732,True,0.00497512,0,200,deuteronomy,control_exclude_external,full
5,11.01507437,13.61875512,0.00451608,196,-576.536117,True,0.00497512,0,200,deuteronomy,control_exclude_external,full
6,12.13639542,13.71372201,0.00133541,78,-1181.156052,True,0.00497512,0,200,deuteronomy,control_exclude_external,full
