k,pattern,observed_count,observed_share,enrichment_ratio,total_ngrams,null_mean,null_sd,null_unique_values,z,z_reliable,empirical_p,null_exceedances,permutations,rank,book,run_label,stream_type
3,zaqef_qatan tipeha atnah,186,0.00969356,8.414386,19188,22.105,4.85094147,25,33.786225,True,0.00497512,0,200,42,genesis,control_exclude_external,full
3,merkha tipeha munah,271,0.01412341,5.764731,19188,47.01,6.98382194,34,32.072696,True,0.00497512,0,200,43,genesis,control_exclude_external,full
3,atnah darga tevir,25,0.0013029,38.461538,19188,0.65,0.77492097,4,31.422559,True,0.00497512,0,200,44,genesis,control_exclude_external,full
3,meteg merkha tipeha,274,0.01427976,5.296221,19188,51.735,7.32139256,34,30.358296,True,0.00497512,0,200,45,genesis,control_exclude_external,full
3,merkha tipeha merkha,247,0.01287263,5.299292,19188,46.61,6.81617202,35,29.399199,True,0.00497512,0,200,46,genesis,control_exclude_external,full
3,atnah munah zaqef_qatan,140,0.00729623,7.717751,19188,18.14,4.2081997,22,28.957751,True,0.00497512,0,200,47,genesis,control_exclude_external,full
3,zaqef_qatan tipeha merkha,185,0.00964144,5.145321,19188,35.955,5.58290418,28,26.696679,True,0.00497512,0,200,48,genesis,control_exclude_external,full
3,tipeha atnah merkha,168,0.00875547,5.940594,19188,28.28,5.28785467,25,26.422814,True,0.00497512,0,200,49,genesis,control_exclude_external,full
3,zaqef_qatan tipeha munah,169,0.00880759,4.620011,19188,36.58,5.19891755,25,25.470687,True,0.00497512,0,200,50,genesis,control_exclude_external,full
4,mahapakh pashta munah zaqef_qatan,227,0.01183093,262.427746,19187,0.865,0.88356007,5,255.936193,True,0.00497512,0,200,1,genesis,control_exclude_external,full
4,munah zaqef_qatan merkha tipeha,331,0.01725126,69.319372,19187,4.775,2.15583234,14,151.322065,True,0.00497512,0,200,2,genesis,control_exclude_external,full
4,merkha tipeha munah atnah,266,0.01386355,75.783476,19187,3.51,1.91001066,10,137.428553,True,0.00497512,0,200,3,genesis,control_exclude_external,full
4,pashta munah zaqef_qatan tipeha,244,0.01271694,76.25,19187,3.2,1.89948419,10,126.771258,True,0.00497512,0,200,4,genesis,control_exclude_external,full
4,zaqef_qatan merkha tipeha atnah,215,0.0112055,74.782609,19187,2.875,1.695212,8,125.131842,True,0.00497512,0,200,5,genesis,control_exclude_external,full
4,pashta munah zaqef_qatan merkha,190,0.00990254,74.95069,19187,2.535,1.51666621,8,123.603334,True,0.00497512,0,200,6,genesis,control_exclude_external,full
4,pashta pashta munah zaqef_qatan,147,0.00766144,75.578406,19187,1.945,1.24083575,6,116.901048,True,0.00497512,0,200,7,genesis,control_exclude_external,full
4,revia pashta munah zaqef_qatan,88,0.00458644,133.333333,19187,0.66,0.79217276,5,110.253727,True,0.00497512,0,200,8,genesis,control_exclude_external,full
4,munah revia mahapakh pashta,62,0.00323135,203.278689,19187,0.305,0.55994885,4,110.179707,True,0.00497512,0,200,9,genesis,control_exclude_external,full
4,meteg mahapakh pashta zaqef_qatan,102,0.0053161,102.0,19187,1.0,1.02236301,5,98.790741,True,0.00497512,0,200,10,genesis,control_exclude_external,full
4,mahapakh pashta zaqef_qatan merkha,103,0.00536822,118.390805,19187,0.87,1.0433325,7,97.888257,True,0.00497512,0,200,11,genesis,control_exclude_external,full
4,mahapakh pashta zaqef_qatan tipeha,92,0.00479491,86.384977,19187,1.065,0.94085121,6,96.651839,True,0.00497512,0,200,12,genesis,control_exclude_external,full
4,zaqef_qatan tipeha munah atnah,162,0.00844322,57.754011,19187,2.805,1.73552159,10,91.727468,True,0.00497512,0,200,13,genesis,control_exclude_external,full
4,merkha tipeha merkha meteg,246,0.01282118,36.716418,19187,6.7,2.67878319,15,89.331604,True,0.00497512,0,200,14,genesis,control_exclude_external,full
4,pashta zaqef_qatan merkha tipeha,154,0.00802627,47.678019,19187,3.23,1.76427416,9,85.45724,True,0.00497512,0,200,15,genesis,control_exclude_external,full
4,tevir merkha tipeha atnah,86,0.0044822,86.432161,19187,0.995,1.01495105,5,83.752808,True,0.00497512,0,200,16,genesis,control_exclude_external,full
4,zaqef_qatan tipeha merkha meteg,184,0.00958983,36.291913,19187,5.07,2.30033862,12,77.7842,True,0.00497512,0,200,17,genesis,control_exclude_external,full
4,tipeha meteg mahapakh pashta,92,0.00479491,57.680251,19187,1.595,1.18659811,7,76.18839,True,0.00497512,0,200,18,genesis,control_exclude_external,full
4,tevir merkha tipeha munah,88,0.00458644,59.459459,19187,1.48,1.1646381,7,74.289172,True,0.00497512,0,200,19,genesis,control_exclude_external,full
4,atnah merkha tipeha meteg,155,0.00807839,39.794608,19187,3.895,2.05060967,11,73.687841,True,0.00497512,0,200,20,genesis,control_exclude_external,full
4,meteg pashta munah zaqef_qatan,128,0.00667118,44.444444,19187,2.88,1.73801712,9,71.990085,True,0.00497512,0,200,21,genesis,control_exclude_external,full
4,mahapakh pashta pashta zaqef_qatan,56,0.00291864,93.333333,19187,0.6,0.78298488,5,70.754878,True,0.00497512,0,200,22,genesis,control_exclude_external,full
4,zaqef_qatan merkha tipeha meteg,174,0.00906864,32.553789,19187,5.345,2.41976264,12,69.698985,True,0.00497512,0,200,23,genesis,control_exclude_external,full
4,tevir merkha tipeha meteg,95,0.00495127,55.882353,19187,1.7,1.34873848,8,69.175753,True,0.00497512,0,200,24,genesis,control_exclude_external,full
4,munah zaqef_qatan tipeha atnah,120,0.00625423,44.036697,19187,2.725,1.69817372,10,69.059484,True,0.00497512,0,200,25,genesis,control_exclude_external,full
4,tipeha atnah merkha tipeha,142,0.00740084,33.216374,19187,4.275,2.03718571,12,67.60552,True,0.00497512,0,200,26,genesis,control_exclude_external,full
