book,run_label,feature_set,model_role,n_words,n_candidates,n_minor_boundaries_candidates,evaluation_mode,folds,split_mode,test_frac,include_edges,pos_cap,len_cap,alpha,test_candidates,gold_boundaries,predicted_boundaries,tp,fp,fn,precision,recall,f1,fold_f1_mean,fold_f1_sd,fold_f1_min,fold_f1_max,random_f1_mean,random_f1_sd,model_vs_random_f1_z,model_vs_random_empirical_p
genesis,control_wider_caps,structure,geometry_baseline,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,712,1743,1743,0.29002037,0.29002037,0.29002037,0.28992374,0.01689384,0.2651357,0.30769231,0.16748187,0.00727392,16.846275,0.00199601
genesis,control_wider_caps,current_only,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,1219,1236,1236,0.49653768,0.49653768,0.49653768,0.49651959,0.01541607,0.4796748,0.51593625,0.16748187,0.00727392,45.237741,0.00199601
genesis,control_wider_caps,adjacent_only,strict_adjacency_primary,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,1772,683,683,0.72179226,0.72179226,0.72179226,0.72171417,0.01180261,0.70146138,0.73180873,0.16748187,0.00727392,76.205158,0.00199601
genesis,control_wider_caps,local_taam,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,1905,550,550,0.77596741,0.77596741,0.77596741,0.775991,0.01879401,0.75449102,0.80079681,0.16748187,0.00727392,83.653017,0.00199601
genesis,control_wider_caps,structure_current,ablation,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,1469,986,986,0.59837067,0.59837067,0.59837067,0.59830874,0.00963044,0.58872651,0.61155378,0.16748187,0.00727392,59.237477,0.00199601
genesis,control_wider_caps,structure_local,maximal_reconstruction,20596,14625,2455,cross_validation,5,major_unit,NA,False,16,40,1.0,14625,2455,2455,1812,643,643,0.73808554,0.73808554,0.73808554,0.73811378,0.02231337,0.70658683,0.75498008,0.16748187,0.00727392,78.445115,0.00199601
exodus,control_wider_caps,structure,geometry_baseline,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,596,1353,1353,0.30579785,0.30579785,0.30579785,0.30537144,0.01214217,0.2890625,0.31980907,0.16306003,0.00764653,18.667014,0.00199601
exodus,control_wider_caps,current_only,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,922,1027,1027,0.47306311,0.47306311,0.47306311,0.47323148,0.0370125,0.43287671,0.5308311,0.16306003,0.00764653,40.541687,0.00199601
exodus,control_wider_caps,adjacent_only,strict_adjacency_primary,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,1369,580,580,0.70241149,0.70241149,0.70241149,0.70236378,0.02543087,0.671875,0.73994638,0.16306003,0.00764653,70.535488,0.00199601
exodus,control_wider_caps,local_taam,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,1448,501,501,0.7429451,0.7429451,0.7429451,0.74300263,0.02170312,0.71780822,0.77747989,0.16306003,0.00764653,75.836405,0.00199601
exodus,control_wider_caps,structure_current,ablation,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,1150,799,799,0.59004618,0.59004618,0.59004618,0.58984144,0.03073523,0.54520548,0.63002681,0.16306003,0.00764653,55.840538,0.00199601
exodus,control_wider_caps,structure_local,maximal_reconstruction,16701,12008,1949,cross_validation,5,major_unit,NA,False,16,40,1.0,12008,1949,1949,1440,509,509,0.73884043,0.73884043,0.73884043,0.73896615,0.02300744,0.71232877,0.77479893,0.16306003,0.00764653,75.299604,0.00199601
leviticus,control_wider_caps,structure,geometry_baseline,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,335,968,968,0.257099,0.257099,0.257099,0.25800575,0.03457726,0.20955882,0.30452675,0.15130775,0.00897895,11.782138,0.00199601
leviticus,control_wider_caps,current_only,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,573,730,730,0.43975441,0.43975441,0.43975441,0.43899996,0.01758574,0.41563786,0.45955882,0.15130775,0.00897895,32.124758,0.00199601
leviticus,control_wider_caps,adjacent_only,strict_adjacency_primary,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,884,419,419,0.67843438,0.67843438,0.67843438,0.6789328,0.02801632,0.63970588,0.71138211,0.15130775,0.00897895,58.706921,0.00199601
leviticus,control_wider_caps,local_taam,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,958,345,345,0.7352264,0.7352264,0.7352264,0.73588933,0.02339908,0.70220588,0.7601626,0.15130775,0.00897895,65.031938,0.00199601
leviticus,control_wider_caps,structure_current,ablation,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,741,562,562,0.56868764,0.56868764,0.56868764,0.56939827,0.01707129,0.54814815,0.58847737,0.15130775,0.00897895,46.484255,0.00199601
leviticus,control_wider_caps,structure_local,maximal_reconstruction,11945,8609,1303,cross_validation,5,major_unit,NA,False,16,40,1.0,8609,1303,1303,918,385,385,0.70452801,0.70452801,0.70452801,0.70579135,0.02799495,0.68382353,0.74074074,0.15130775,0.00897895,61.61301,0.00199601
numbers,control_wider_caps,structure,geometry_baseline,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,548,1267,1267,0.30192837,0.30192837,0.30192837,0.30155595,0.02721575,0.26912181,0.33423913,0.15760771,0.00754708,19.122712,0.00199601
numbers,control_wider_caps,current_only,ablation,16404,11537,1815,cross_validation,5,major_unit,NA,False,16,40,1.0,11537,1815,1815,852,963,963,0.46942149,0.46942149,0.46942149,0.46895057,0.0194069,0.44565217,0.49744898,0.15760771,0.00754708,41.31581,0.00199601
