level,n_segments,n_incomplete_trailing,word_count_n,word_count_unique,word_count_mean,word_count_median,word_count_min,word_count_max,word_count_entropy_norm,word_count_top1,word_count_top1_share,word_count_top3,word_count_top3_share,word_count_top5,word_count_top5_share,pulse_count_n,pulse_count_unique,pulse_count_mean,pulse_count_median,pulse_count_min,pulse_count_max,pulse_count_entropy_norm,pulse_count_top1,pulse_count_top1_share,pulse_count_top3,pulse_count_top3_share,pulse_count_top5,pulse_count_top5_share,accent_count_n,accent_count_unique,accent_count_mean,accent_count_median,accent_count_min,accent_count_max,accent_count_entropy_norm,accent_count_top1,accent_count_top1_share,accent_count_top3,accent_count_top3_share,accent_count_top5,accent_count_top5_share,density_mean,shape_top5,bucket_shape_top5,book,run_label
verse,1530,0,1530,29,13.46143791,13.0,3,32,0.87816736,11,0.0869281,11+14+13,0.25098039,11+14+13+12+10,0.40457516,1530,59,29.88823529,29.0,6,69,0.91239583,23,0.04313725,23+28+30,0.12091503,23+28+30+21+22,0.19738562,1530,26,11.84901961,11.0,2,27,0.86485854,11,0.09607843,11+9+12,0.28366013,11+9+12+10+13,0.45490196,0.39928475,P22_A9+P20_A8+P26_A10+P21_A8+P27_A11,P25+_A8++P19-24_A8++P16-18_A6-7+P13-15_A6-7+P19-24_A6-7,genesis,control_large_ranges
major,2996,0,2996,23,6.87449933,6.0,1,24,0.81711002,4,0.13718291,4+6+5,0.3935247,4+6+5+3+7,0.59512684,2996,46,15.26335113,13.0,2,49,0.87013531,8,0.07142857,8+12+10,0.20193591,8+12+10+9+13,0.32743658,2996,20,6.05106809,5.0,1,20,0.80619651,5,0.14919893,5+3+4,0.438251,5+3+4+6+7,0.65754339,0.40245612,P8_A3+P10_A4+P13_A5+P7_A3+P12_A5,P25+_A8++P19-24_A8++P7-9_A3+P16-18_A6-7+P13-15_A6-7,genesis,control_large_ranges
minor,5747,0,5747,17,3.58378284,3,1,19,0.64811213,3,0.29267444,3+4+2,0.69879937,3+4+2+5+1,0.88759353,5747,32,7.95702105,7,1,44,0.74683553,7,0.13502697,7+6+8,0.40194884,7+6+8+5+9,0.61231947,5747,14,3.1545154,3,1,18,0.62617435,3,0.36540804,3+2+4,0.78040717,3+2+4+5+1,0.94257874,0.40916288,P8_A3+P7_A3+P5_A2+P6_A2+P6_A3,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P7-9_A4,genesis,control_large_ranges
