metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,2.73702084,2.73702084,0,0,,genesis,minor,transition_bucket_shape,5747,19,chronological,accent_words,,,
conditional_entropy,2.70209743,2.71055143,0.00240269,-3.518559,0.00199601,genesis,minor,transition_bucket_shape,5747,19,chronological,accent_words,lower,,
entropy_reduction,0.03492341,0.02646941,0.00240269,3.518559,0.00199601,genesis,minor,transition_bucket_shape,5747,19,chronological,accent_words,upper,,
in_sample_next_accuracy,0.34980856,0.34720919,0.0006433,4.040709,0.00598802,genesis,minor,transition_bucket_shape,5747,19,chronological,accent_words,upper,,
cv_next_accuracy,0.35913043,0.34409739,0.01165413,1.289933,0.09381238,genesis,minor,transition_bucket_shape,5747,19,chronological,accent_words,upper,4596,1150
unigram_entropy,3.56169822,3.56169822,0,0,,genesis,minor,transition_exact_shape,5747,52,chronological,accent_words,,,
conditional_entropy,3.43544024,3.45345648,0.00460058,-3.916079,0.00199601,genesis,minor,transition_exact_shape,5747,52,chronological,accent_words,lower,,
entropy_reduction,0.12625798,0.10824174,0.00460058,3.916079,0.00199601,genesis,minor,transition_exact_shape,5747,52,chronological,accent_words,upper,,
in_sample_next_accuracy,0.24173338,0.23804525,0.0011105,3.321134,0.00199601,genesis,minor,transition_exact_shape,5747,52,chronological,accent_words,upper,,
cv_next_accuracy,0.23478261,0.2268487,0.01084623,0.731491,0.24750499,genesis,minor,transition_exact_shape,5747,52,chronological,accent_words,upper,4596,1150
unigram_entropy,4.59985258,4.59985258,0,0,,genesis,major,transition_bucket_shape,2996,53,chronological,accent_words,,,
conditional_entropy,4.21478538,4.23128866,0.01009728,-1.634428,0.05788423,genesis,major,transition_bucket_shape,2996,53,chronological,accent_words,lower,,
entropy_reduction,0.3850672,0.36856392,0.01009728,1.634428,0.05788423,genesis,major,transition_bucket_shape,2996,53,chronological,accent_words,upper,,
in_sample_next_accuracy,0.15191987,0.14764541,0.00259851,1.644964,0.06387226,genesis,major,transition_bucket_shape,2996,53,chronological,accent_words,upper,,
cv_next_accuracy,0.11853088,0.11493823,0.01227118,0.292772,0.41317365,genesis,major,transition_bucket_shape,2996,53,chronological,accent_words,upper,2396,599
unigram_entropy,6.08882807,6.08882807,0,0,,genesis,major,transition_exact_shape,2996,220,chronological,accent_words,,,
conditional_entropy,4.38416538,4.38421911,0.01442602,-0.003725,0.53293413,genesis,major,transition_exact_shape,2996,220,chronological,accent_words,lower,,
